doc_id,title,article_chars,sentence_count,top_k,summary_chars,selected_indices,summary_text,has_reference,source,rouge1_f,rouge2_f,rougeL_f
4,"Hải_Phòng : Bắt 2 đối_tượng dùng chiêu "" ve_sầu thoát xác "" trốn truy_nã dưới vỏ bọc công_nhân",2303,14,4,706,"[5, 7, 8, 9]","Để truy bắt thành_công các đối_tượng trốn nã , tổ công_tác đội 3 PC01 và đồn Công_an KCN Vsip đã phối_hợp chặt_chẽ , triển_khai đồng_bộ các biện_pháp nghiệp_vụ . Để che_giấu thân_phận , 2 tên đã dùng "" chiêu "" thay tên đổi họ và khai_báo quê_quán ở các địa_phương khác . Hàng ngày , dưới "" vỏ bọc "" là những công_nhân , Mái cùng Quân sáng đi làm , tối về nhà_trọ đồng_thời luôn tỏ ra cần_cù , chịu_khó và hạn_chế giao_tiếp với những người xung_quanh . Dù vậy , sau khi bí_mật tiến_hành xác_minh , nhất_là "" dấu_hiệu "" giọng nói có phần lơ_lớ của đối_tượng , trinh_sát đã chắc_chắn xác_định : 2 công_nhân trên chính là 2 kẻ trốn truy_nã theo quyết_định truy_nã của Công_an huyện Tuần_Giáo , tỉnh Điện_Biên .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.3054545454545454,0.1465201465201465,0.2181818181818182
4,"Hải_Phòng : Bắt 2 đối_tượng dùng chiêu "" ve_sầu thoát xác "" trốn truy_nã dưới vỏ bọc công_nhân",2303,14,5,1030,"[0, 5, 7, 8, 9]","Ngày 25/5 , đồn Công_an khu_công_nghiệp Vsip_Hải_Phòng Công_an huyện Thuỷ_Nguyên cho biết , đơn_vị vừa phối_hợp với văn_phòng cơ_quan CSĐT ( PC 01 ) Công_an TP. Hải_Phòng bắt_giữ và bàn_giao 2 đối_tượng Cà_Văn_Mái và Cà_Văn_Quân ( cùng SN 1993 , đều trú tại bản Thín B , xã Mường_Thín , huyện Tuần_Giáo , tỉnh Điện_Biên ) . Để truy bắt thành_công các đối_tượng trốn nã , tổ công_tác đội 3 PC01 và đồn Công_an KCN Vsip đã phối_hợp chặt_chẽ , triển_khai đồng_bộ các biện_pháp nghiệp_vụ . Để che_giấu thân_phận , 2 tên đã dùng "" chiêu "" thay tên đổi họ và khai_báo quê_quán ở các địa_phương khác . Hàng ngày , dưới "" vỏ bọc "" là những công_nhân , Mái cùng Quân sáng đi làm , tối về nhà_trọ đồng_thời luôn tỏ ra cần_cù , chịu_khó và hạn_chế giao_tiếp với những người xung_quanh . Dù vậy , sau khi bí_mật tiến_hành xác_minh , nhất_là "" dấu_hiệu "" giọng nói có phần lơ_lớ của đối_tượng , trinh_sát đã chắc_chắn xác_định : 2 công_nhân trên chính là 2 kẻ trốn truy_nã theo quyết_định truy_nã của Công_an huyện Tuần_Giáo , tỉnh Điện_Biên .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.21875,0.1256544502617801,0.17708333333333334
5,Vụ phó phòng ngân_hàng đâm bố_mẹ thương_vong : Đối_tượng khai gì tại CQĐT ?,2740,24,2,165,"[5, 22]","Tuy_nhiên , qua việc khai_thác thông_tin ban_đầu , Tuấn thừa_nhận 4 ngày_trước có sử_dụng 1 loại cỏ gây ảo_giác khi đi hát karaoke với bạn cùng lớp . Ảnh Nhật_Tuấn .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.5826771653543307,0.064,0.2519685039370078
5,Vụ phó phòng ngân_hàng đâm bố_mẹ thương_vong : Đối_tượng khai gì tại CQĐT ?,2740,24,3,255,"[5, 14, 22]","Tuy_nhiên , qua việc khai_thác thông_tin ban_đầu , Tuấn thừa_nhận 4 ngày_trước có sử_dụng 1 loại cỏ gây ảo_giác khi đi hát karaoke với bạn cùng lớp . Sau đó , đối_tượng xuống xe vứt dao , cởi quần_áo bỏ trên đường_Tỉnh_lộ 536 rồi bỏ trốn . Ảnh Nhật_Tuấn .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.6451612903225805,0.11764705882352941,0.2838709677419355
5,Vụ phó phòng ngân_hàng đâm bố_mẹ thương_vong : Đối_tượng khai gì tại CQĐT ?,2740,24,4,405,"[5, 14, 20, 22]","Tuy_nhiên , qua việc khai_thác thông_tin ban_đầu , Tuấn thừa_nhận 4 ngày_trước có sử_dụng 1 loại cỏ gây ảo_giác khi đi hát karaoke với bạn cùng lớp . Sau đó , đối_tượng xuống xe vứt dao , cởi quần_áo bỏ trên đường_Tỉnh_lộ 536 rồi bỏ trốn . Về thông_tin chị Trương_Thị_Cẩm_T. bị sẩy_thai thì hiện phía bệnh_viện chưa khẳng_định , phải làm một_số xét_nghiệm nữa thì mới biết được chắc_chắn . Ảnh Nhật_Tuấn .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.5990338164251208,0.16585365853658535,0.2995169082125604
5,Vụ phó phòng ngân_hàng đâm bố_mẹ thương_vong : Đối_tượng khai gì tại CQĐT ?,2740,24,5,490,"[5, 11, 14, 20, 22]","Tuy_nhiên , qua việc khai_thác thông_tin ban_đầu , Tuấn thừa_nhận 4 ngày_trước có sử_dụng 1 loại cỏ gây ảo_giác khi đi hát karaoke với bạn cùng lớp . Thời_điểm này , người vợ của Tuấn ôm con_trai 3 tuổi bỏ chạy nên may_mắn thoát nạn . Sau đó , đối_tượng xuống xe vứt dao , cởi quần_áo bỏ trên đường_Tỉnh_lộ 536 rồi bỏ trốn . Về thông_tin chị Trương_Thị_Cẩm_T. bị sẩy_thai thì hiện phía bệnh_viện chưa khẳng_định , phải làm một_số xét_nghiệm nữa thì mới biết được chắc_chắn . Ảnh Nhật_Tuấn .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.5210084033613445,0.15254237288135594,0.26890756302521013
6,"Phát_hiện hàng chục nam_nữ thanh_niên "" bay , lắc "" trong quán karaoke",1406,10,2,252,"[4, 5]","Thời_điểm kiểm_tra tại 4 phòng hát này , tổ công tác thu giữ nhiều tang vật như : Ma túy đá , ketamin dùng để hít , thuốc lắc và cỏ Mỹ . Lúc này , tổ công_tác đã đưa các đối_tượng trên về bệnh viện Đa_khoa TP. Buôn_Ma Thuột , tỉnh Đắk_Lắk để kiểm_tra .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.4925373134328359,0.0909090909090909,0.2985074626865672
6,"Phát_hiện hàng chục nam_nữ thanh_niên "" bay , lắc "" trong quán karaoke",1406,10,3,335,"[4, 5, 6]","Thời_điểm kiểm_tra tại 4 phòng hát này , tổ công tác thu giữ nhiều tang vật như : Ma túy đá , ketamin dùng để hít , thuốc lắc và cỏ Mỹ . Lúc này , tổ công_tác đã đưa các đối_tượng trên về bệnh viện Đa_khoa TP. Buôn_Ma Thuột , tỉnh Đắk_Lắk để kiểm_tra . Kết_quả cho thấy , có 21 đối tượng gồm 6 nữ và 15 nam dương tính với chất ma túy .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.44171779141104295,0.09937888198757763,0.26993865030674846
6,"Phát_hiện hàng chục nam_nữ thanh_niên "" bay , lắc "" trong quán karaoke",1406,10,4,557,"[1, 4, 5, 6]","Trước đó , vào khoảng 1h sáng 19/10 , tổ công tác của phòng Cảnh sát hình sự và phòng Cảnh sát cơ động , Công_an tỉnh Đắk Lắk tiến_hành kiểm tra quán karaoke GaLaXy ở 391 đường Hùng Vương , thị_xã Buôn_Hồ , tỉnh Đắk Lắk . Thời_điểm kiểm_tra tại 4 phòng hát này , tổ công tác thu giữ nhiều tang vật như : Ma túy đá , ketamin dùng để hít , thuốc lắc và cỏ Mỹ . Lúc này , tổ công_tác đã đưa các đối_tượng trên về bệnh viện Đa_khoa TP. Buôn_Ma Thuột , tỉnh Đắk_Lắk để kiểm_tra . Kết_quả cho thấy , có 21 đối tượng gồm 6 nữ và 15 nam dương tính với chất ma túy .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.35042735042735046,0.12068965517241377,0.23076923076923075
6,"Phát_hiện hàng chục nam_nữ thanh_niên "" bay , lắc "" trong quán karaoke",1406,10,5,679,"[1, 4, 5, 6, 7]","Trước đó , vào khoảng 1h sáng 19/10 , tổ công tác của phòng Cảnh sát hình sự và phòng Cảnh sát cơ động , Công_an tỉnh Đắk Lắk tiến_hành kiểm tra quán karaoke GaLaXy ở 391 đường Hùng Vương , thị_xã Buôn_Hồ , tỉnh Đắk Lắk . Thời_điểm kiểm_tra tại 4 phòng hát này , tổ công tác thu giữ nhiều tang vật như : Ma túy đá , ketamin dùng để hít , thuốc lắc và cỏ Mỹ . Lúc này , tổ công_tác đã đưa các đối_tượng trên về bệnh viện Đa_khoa TP. Buôn_Ma Thuột , tỉnh Đắk_Lắk để kiểm_tra . Kết_quả cho thấy , có 21 đối tượng gồm 6 nữ và 15 nam dương tính với chất ma túy . Tại cơ_quan công_an , các đối tượng khai nhận đã mua các chất ma túy trên rồi rủ nhau đi hát karaoke để tổ chức sử dụng .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.315018315018315,0.12546125461254612,0.2271062271062271
7,"Bị chuyển tội_danh , gã "" đồ_tể "" xâm_hại bé gái ở vườn chuối có_thể đối_mặt với án tử",2608,14,2,507,"[1, 2]","Liên_quan đến quyết_định phê_chuẩn của VKS về việc thay_đổi quyết_định khởi_tố bị_can , thay_đổi tội_danh , luật_sư Thịnh cho_rằng việc_làm này là rất kịp_thời và phù_hợp với quy_định của pháp_luật ; góp_phần xoa_dịu những nỗi_đau mà bị hại và gia_đình bị hại đã phải trải qua ; cũng như củng_cố thêm niềm_tin của quần_chúng nhân_dân vào các cơ_quan tiến_hành tố_tụng , vào công_lý . Đồng_thời qua đó cũng tạo sức răn_đe , cảnh_báo , là bài_học lớn cho những đối_tượng có tư_tưởng , hành_vi xâm_hại trẻ_em .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.4117647058823529,0.09322033898305085,0.2605042016806723
7,"Bị chuyển tội_danh , gã "" đồ_tể "" xâm_hại bé gái ở vườn chuối có_thể đối_mặt với án tử",2608,14,3,816,"[1, 2, 8]","Liên_quan đến quyết_định phê_chuẩn của VKS về việc thay_đổi quyết_định khởi_tố bị_can , thay_đổi tội_danh , luật_sư Thịnh cho_rằng việc_làm này là rất kịp_thời và phù_hợp với quy_định của pháp_luật ; góp_phần xoa_dịu những nỗi_đau mà bị hại và gia_đình bị hại đã phải trải qua ; cũng như củng_cố thêm niềm_tin của quần_chúng nhân_dân vào các cơ_quan tiến_hành tố_tụng , vào công_lý . Đồng_thời qua đó cũng tạo sức răn_đe , cảnh_báo , là bài_học lớn cho những đối_tượng có tư_tưởng , hành_vi xâm_hại trẻ_em . ) ; lợi_dụng tình_trạng không_thể tự_vệ được của cháu ( cháu là trẻ_em , trong khi Trình là một thanh_niên to_khoẻ ) để giao_cấu hoặc thực_hiện hành_vi quan_hệ tình_dục khác ( hậu_quả làm cháu bị rách màng_trinh và thủng tầng sinh_môn ) như_vậy đã đầy_đủ yếu_tố để cấu_thành tội Hiếp_dâm người dưới 16 tuổi .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.33136094674556216,0.16071428571428573,0.1952662721893491
7,"Bị chuyển tội_danh , gã "" đồ_tể "" xâm_hại bé gái ở vườn chuối có_thể đối_mặt với án tử",2608,14,4,938,"[1, 2, 8, 11]","Liên_quan đến quyết_định phê_chuẩn của VKS về việc thay_đổi quyết_định khởi_tố bị_can , thay_đổi tội_danh , luật_sư Thịnh cho_rằng việc_làm này là rất kịp_thời và phù_hợp với quy_định của pháp_luật ; góp_phần xoa_dịu những nỗi_đau mà bị hại và gia_đình bị hại đã phải trải qua ; cũng như củng_cố thêm niềm_tin của quần_chúng nhân_dân vào các cơ_quan tiến_hành tố_tụng , vào công_lý . Đồng_thời qua đó cũng tạo sức răn_đe , cảnh_báo , là bài_học lớn cho những đối_tượng có tư_tưởng , hành_vi xâm_hại trẻ_em . ) ; lợi_dụng tình_trạng không_thể tự_vệ được của cháu ( cháu là trẻ_em , trong khi Trình là một thanh_niên to_khoẻ ) để giao_cấu hoặc thực_hiện hành_vi quan_hệ tình_dục khác ( hậu_quả làm cháu bị rách màng_trinh và thủng tầng sinh_môn ) như_vậy đã đầy_đủ yếu_tố để cấu_thành tội Hiếp_dâm người dưới 16 tuổi . "" Đối_tượng phạm_tội thuộc trường_hợp này thì bị phạt tù 20 năm , tù chung_thân hoặc tử_hình "" , luật_sư Thịnh cho biết .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.2962962962962963,0.15425531914893614,0.19576719576719578
7,"Bị chuyển tội_danh , gã "" đồ_tể "" xâm_hại bé gái ở vườn chuối có_thể đối_mặt với án tử",2608,14,5,1071,"[1, 2, 8, 9, 11]","Liên_quan đến quyết_định phê_chuẩn của VKS về việc thay_đổi quyết_định khởi_tố bị_can , thay_đổi tội_danh , luật_sư Thịnh cho_rằng việc_làm này là rất kịp_thời và phù_hợp với quy_định của pháp_luật ; góp_phần xoa_dịu những nỗi_đau mà bị hại và gia_đình bị hại đã phải trải qua ; cũng như củng_cố thêm niềm_tin của quần_chúng nhân_dân vào các cơ_quan tiến_hành tố_tụng , vào công_lý . Đồng_thời qua đó cũng tạo sức răn_đe , cảnh_báo , là bài_học lớn cho những đối_tượng có tư_tưởng , hành_vi xâm_hại trẻ_em . ) ; lợi_dụng tình_trạng không_thể tự_vệ được của cháu ( cháu là trẻ_em , trong khi Trình là một thanh_niên to_khoẻ ) để giao_cấu hoặc thực_hiện hành_vi quan_hệ tình_dục khác ( hậu_quả làm cháu bị rách màng_trinh và thủng tầng sinh_môn ) như_vậy đã đầy_đủ yếu_tố để cấu_thành tội Hiếp_dâm người dưới 16 tuổi . Theo thông_tin gia_đình nạn_nhân cung_cấp , thời_điểm cháu Q. bị xâm_hại mới được 9 tuổi , 5 tháng 20 ngày ( tức_là dưới 10 tuổi ) . "" Đối_tượng phạm_tội thuộc trường_hợp này thì bị phạt tù 20 năm , tù chung_thân hoặc tử_hình "" , luật_sư Thịnh cho biết .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.2695035460992908,0.15676959619952496,0.19385342789598106
8,Chùm ảnh : Ám_ảnh từ hiện_trường vụ 2 thi_thể giấu trong thùng bê_tông,1864,20,2,489,"[11, 12]","Chiều ngày 16/5 , cơ_quan điều_tra Công_an tỉnh Bình_Dương thông_báo ai có thông_tin liên_quan đến vụ án_mạng cũng như các tử_thi có đặc_điểm nhận_dạng như trên , xin cung_cấp thông_tin về phòng Cảnh_sát hình_sự Công_an tỉnh Bình_Dương , địa_chỉ : Số 615 , Đại_lộ Bình_Dương , phường Hiệp_Thành , thành_phố Thủ_Dầu_Một , tỉnh Bình_Dương hoặc liên_hệ số điện_thoại : 0989 95 17 95 gặp điều_tra_viên Lê_Xuân_Sang để phối_hợp điều_tra , giải_quyết . Công_an đang truy_tìm danh_tính nạn_nhân .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.41818181818181815,0.22018348623853212,0.33636363636363636
