guid,article_char_len,format,status,error,rouge1_f,rouge2_f,rougeL_f,rougeL_delta_vs_baseline,compression_ratio,repetition_rate,cleaned_char_len,sentence_count,ingest_latency_sec,summarize_latency_sec,predicted_summary,ingest_exact_match,ingest_char_len_ratio,ingest_sentence_count_delta,ingest_rougeL_f,ingest_replacement_char_count
55,1977,file_docx,ok,,0.4888888888888889,0.348314606741573,0.35555555555555557,0.0,0.2013151239251391,0.0,1977,19,0.021975199999999973,0.0016901000000002497,"Cà_Mau , Cà_Mau ) , Phó tổng_giám_đốc Công_ty TNHH Xây_dựng - Thương_mại - Du_lịch Công_Lý ( gọi tắt là Công_ty Công_Lý ) để điều_tra về hành_vi lừa_đảo chiếm_đoạt tài_sản theo Điều 179 Bộ Luật_hình_sự . Thông_tin trên báo Người Lao_Động , gần đây , công_ty Công_Lý đề_xuất UBND tỉnh Cà_Mau cấp kinh_phí và đất để chôn xác thai_nhi do nhà_máy rác của công_ty này phát_hiện từ khi đi vào hoạt_động .",True,1.0,0,1.0,0
55,1977,file_pdf,ok,,0.5858585858585857,0.18556701030927839,0.2828282828282828,-0.07272727272727275,0.07991906929691452,0.0,1977,53,0.00914590000000004,0.009581800000000307,"Công_an ?ã t?ng_??t quy?t_??nh b?t t?m giam
??i_v?i Tô_Công_Lý ( 35 tu?i , ng? xã ??t_M?i , huy?n Ng?c_Hi?n ( Cà_Mau ) và Nhà_máy x?_lý rác_th?i TP Cà_Mau ...",False,1.0,34,1.0,0
11152,1964,text_baseline,ok,,0.6590909090909092,0.3023255813953488,0.5,0.0,0.07892057026476579,0.4,1964,15,0.0001614999999999256,0.001089399999999685,Hơn 100 người di_cư vào Mỹ qua đoạn tường biên_giới ở Arizona . Hồng_Hạnh ( Theo Fox_News ) Hơn 100 người di_cư vào Mỹ qua đoạn tường biên_giới ở Arizona .,True,1.0,0,1.0,0
11152,1964,file_txt,ok,,0.6590909090909092,0.3023255813953488,0.5,0.0,0.07892057026476579,0.4,1964,15,0.0018123000000001,0.001213100000000189,Hơn 100 người di_cư vào Mỹ qua đoạn tường biên_giới ở Arizona . Hồng_Hạnh ( Theo Fox_News ) Hơn 100 người di_cư vào Mỹ qua đoạn tường biên_giới ở Arizona .,True,1.0,0,1.0,0
11152,1964,file_docx,ok,,0.6590909090909092,0.3023255813953488,0.5,0.0,0.07892057026476579,0.4,1964,15,0.020421900000000104,0.0011195999999999984,Hơn 100 người di_cư vào Mỹ qua đoạn tường biên_giới ở Arizona . Hồng_Hạnh ( Theo Fox_News ) Hơn 100 người di_cư vào Mỹ qua đoạn tường biên_giới ở Arizona .,True,1.0,0,1.0,0
11152,1964,file_pdf,ok,,0.4878048780487805,0.2479338842975207,0.2764227642276422,-0.22357723577235777,0.11965376782077393,0.0,1964,61,0.008998499999999687,0.01301600000000036,"( FAIR ) nh?n_m?nh t?m
quan_tr?ng c?a vi?c xây_d?ng hàng_rào biên_gi?i ch?c_ch?n h?n , trong b?i_c?nh T?ng_th?ng Donald_Trump
?ang tìm cách xây_d?ng b?c t??ng biên_gi?i v?i Mexico . không ng?n ???c h?t m?i ng??i , nh?ng ch?c_ch?n nó s?",False,1.0,46,1.0,0
5005,4410,text_baseline,ok,,0.5205479452054795,0.20833333333333331,0.31506849315068497,0.0,0.06281179138321996,0.06557377049180324,4410,35,0.00026420000000015875,0.0055093999999993315,"Ngày 17-11-2015 , Nga tuyên bố các hành động khủng bố là nguyên_nhân khiến máy bay Metrojet bị rơi sau khi phát hiện các dấu vết của thuốc nổ trên xác mác bay . Vụ đánh bom máy bay Nga năm 2015 được xem là hành động khủng bố đẫm máu nhất nhắm vào du khách nước ngoài ở Ai Cập .",True,1.0,0,1.0,0
5005,4410,file_txt,ok,,0.5205479452054795,0.20833333333333331,0.31506849315068497,0.0,0.06281179138321996,0.06557377049180324,4410,35,0.00404289999999996,0.005368899999999677,"Ngày 17-11-2015 , Nga tuyên bố các hành động khủng bố là nguyên_nhân khiến máy bay Metrojet bị rơi sau khi phát hiện các dấu vết của thuốc nổ trên xác mác bay . Vụ đánh bom máy bay Nga năm 2015 được xem là hành động khủng bố đẫm máu nhất nhắm vào du khách nước ngoài ở Ai Cập .",True,1.0,0,1.0,0
5005,4410,file_docx,ok,,0.5205479452054795,0.20833333333333331,0.31506849315068497,0.0,0.06281179138321996,0.06557377049180324,4410,35,0.024106599999999645,0.005338599999999971,"Ngày 17-11-2015 , Nga tuyên bố các hành động khủng bố là nguyên_nhân khiến máy bay Metrojet bị rơi sau khi phát hiện các dấu vết của thuốc nổ trên xác mác bay . Vụ đánh bom máy bay Nga năm 2015 được xem là hành động khủng bố đẫm máu nhất nhắm vào du khách nước ngoài ở Ai Cập .",True,1.0,0,1.0,0
5005,4410,file_pdf,ok,,0.5346534653465346,0.10101010101010101,0.33663366336633666,0.021565170215651686,0.03423260031738835,0.0,4411,146,0.012508900000000267,0.05284970000000033,"Ng??i Anh , sau m?t cu?c ?i?u tra ?ã th?n tr?ng ??a ra k?t lu?n "" máy bay ?ã c? Luxor ,
Ai_C?p , gi?t ch?t 62 ng??i , ph?n_l?n là du_khách n??c_ngoài .",False,1.0002267573696144,111,1.0,0
